"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20, 2019","1,393.18","1,387.25","1,394.09","1,374.18","-","0.42%"
"Nov 19, 2019","1,387.31","1,362.29","1,387.31","1,362.29","-","1.86%"
"Nov 18, 2019","1,361.99","1,355.66","1,375.74","1,354.97","-","0.47%"
"Nov 15, 2019","1,355.68","1,361.58","1,366.73","1,355.10","-","-0.47%"
"Nov 14, 2019","1,362.14","1,361.22","1,367.11","1,354.27","-","0.06%"
"Nov 13, 2019","1,361.29","1,367.32","1,367.32","1,348.75","-","-0.43%"
"Nov 12, 2019","1,367.15","1,358.14","1,372.38","1,356.95","-","0.65%"
"Nov 11, 2019","1,358.36","1,368.13","1,368.13","1,351.02","-","-0.60%"
"Nov 08, 2019","1,366.50","1,381.58","1,381.58","1,363.06","-","-1.12%"
"Nov 07, 2019","1,381.99","1,385.71","1,395.23","1,378.56","-","-0.22%"
"Nov 06, 2019","1,384.99","1,376.46","1,393.40","1,369.33","-","0.61%"
"Nov 05, 2019","1,376.65","1,363.13","1,378.94","1,363.13","-","0.96%"
"Nov 04, 2019","1,363.54","1,350.54","1,364.68","1,350.54","-","0.96%"
"Nov 01, 2019","1,350.53","1,349.59","1,354.52","1,343.33","-","0.07%"
"Oct 31, 2019","1,349.58","1,337.33","1,360.85","1,337.33","-","0.92%"
"Oct 30, 2019","1,337.32","1,343.20","1,349.15","1,311.66","-","-0.69%"
"Oct 29, 2019","1,346.64","1,350.50","1,353.84","1,337.36","-","-0.28%"
"Oct 28, 2019","1,350.42","1,336.95","1,357.22","1,336.95","-","1.05%"
"Oct 25, 2019","1,336.36","1,350.56","1,353.05","1,333.22","-","-1.05%"
"Oct 24, 2019","1,350.54","1,351.69","1,366.09","1,344.84","-","-0.13%"
"Oct 23, 2019","1,352.29","1,373.33","1,373.33","1,341.38","-","-1.52%"
"Oct 22, 2019","1,373.18","1,371.48","1,381.00","1,367.44","-","0.12%"
"Oct 21, 2019","1,371.57","1,364.02","1,373.63","1,357.43","-","0.58%"
"Oct 18, 2019","1,363.66","1,372.19","1,374.77","1,363.66","-","-0.62%"
