"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2020","3,380.27","3,438.93","3,441.57","3,368.42","-","-1.55%"
"Jun 25, 2020","3,433.58","3,452.03","3,471.97","3,423.74","-","-1.83%"
"Jun 24, 2020","3,497.65","3,505.06","3,513.10","3,460.55","-","-1.54%"
"Jun 23, 2020","3,552.40","3,572.90","3,603.07","3,540.27","-","0.38%"
"Jun 22, 2020","3,538.88","3,556.79","3,558.44","3,524.07","-","0.05%"
"Jun 19, 2020","3,537.22","3,488.02","3,558.57","3,474.70","-","1.95%"
"Jun 18, 2020","3,469.46","3,495.30","3,495.49","3,431.07","-","-1.79%"
"Jun 17, 2020","3,532.73","3,565.61","3,572.06","3,515.70","-","-0.19%"
"Jun 16, 2020","3,539.54","3,599.92","3,620.84","3,498.95","-","2.65%"
"Jun 15, 2020","3,448.31","3,449.54","3,545.29","3,417.62","-","-1.69%"
"Jun 12, 2020","3,507.43","3,490.15","3,542.40","3,441.11","-","2.27%"
"Jun 11, 2020","3,429.68","3,505.94","3,529.01","3,364.53","-","-5.62%"
"Jun 10, 2020","3,633.96","3,746.62","3,746.62","3,633.96","-","-3.84%"
"Jun 09, 2020","3,779.07","3,804.09","3,804.09","3,714.46","-","-1.63%"
"Jun 08, 2020","3,841.73","3,778.32","3,877.88","3,743.42","-","2.22%"
"Jun 05, 2020","3,758.37","3,685.46","3,788.55","3,685.46","-","3.48%"
"Jun 04, 2020","3,631.92","3,653.09","3,672.58","3,586.28","-","-1.71%"
"Jun 03, 2020","3,695.29","3,624.07","3,699.06","3,623.25","-","2.53%"
"Jun 02, 2020","3,604.09","3,525.82","3,647.15","3,520.51","-","2.69%"
"Jun 01, 2020","3,509.62","3,398.60","3,511.22","3,389.39","-","3.47%"
"May 29, 2020","3,391.89","3,425.00","3,425.00","3,316.59","-","-0.91%"
"May 28, 2020","3,423.14","3,463.77","3,463.77","3,401.06","-","0.06%"
"May 27, 2020","3,421.10","3,388.67","3,449.65","3,360.48","-","1.11%"
"May 26, 2020","3,383.49","3,370.20","3,424.78","3,360.18","-","2.33%"
"May 25, 2020","3,306.31","3,297.64","3,317.05","3,289.00","-","1.22%"
"May 22, 2020","3,266.43","3,225.98","3,277.47","3,191.27","-","1.11%"
"May 21, 2020","3,230.73","3,261.32","3,292.87","3,213.17","-","0.15%"
"May 20, 2020","3,225.82","3,209.48","3,257.46","3,167.68","-","2.00%"
"May 19, 2020","3,162.56","3,272.89","3,278.66","3,140.09","-","-3.64%"
"May 18, 2020","3,282.11","3,157.77","3,282.11","3,157.77","-","5.74%"
"May 15, 2020","3,103.85","3,145.32","3,163.63","3,089.90","-","-0.31%"
"May 14, 2020","3,113.55","3,113.60","3,164.23","3,049.52","-","-0.24%"
"May 13, 2020","3,120.92","3,244.42","3,244.42","3,120.92","-","-3.88%"
"May 12, 2020","3,246.97","3,275.75","3,304.91","3,204.81","-","-1.30%"
"May 11, 2020","3,289.67","3,272.71","3,298.13","3,249.57","-","-0.54%"
"May 08, 2020","3,307.61","3,223.85","3,326.96","3,223.18","-","4.30%"
"May 07, 2020","3,171.18","3,197.58","3,220.24","3,165.29","-","0.09%"
"May 06, 2020","3,168.24","3,164.81","3,181.05","3,126.80","-","-1.11%"
"May 05, 2020","3,203.78","3,176.84","3,224.08","3,173.25","-","3.03%"
"May 04, 2020","3,109.54","3,064.35","3,147.11","3,025.72","-","1.08%"
"May 01, 2020","3,076.37","3,076.37","3,076.37","3,076.37","-","-3.59%"
"Apr 30, 2020","3,191.07","3,218.24","3,218.24","3,120.60","-","-0.19%"
"Apr 29, 2020","3,197.29","3,097.05","3,231.73","3,097.05","-","5.32%"
"Apr 28, 2020","3,035.79","2,986.40","3,058.38","2,977.19","-","4.05%"
"Apr 27, 2020","2,917.61","2,900.21","2,932.55","2,877.38","-","1.17%"
"Apr 24, 2020","2,884.00","2,879.64","2,885.36","2,836.49","-","0.11%"
"Apr 23, 2020","2,880.79","2,900.39","2,911.53","2,852.80","-","-0.01%"
"Apr 22, 2020","2,881.21","2,901.03","2,916.35","2,871.97","-","0.27%"
"Apr 21, 2020","2,873.36","2,905.89","2,905.89","2,856.63","-","-3.15%"
"Apr 20, 2020","2,966.91","2,987.13","2,987.13","2,940.47","-","-1.03%"
"Apr 17, 2020","2,997.74","2,965.32","3,043.69","2,965.32","-","3.80%"
"Apr 16, 2020","2,887.91","2,914.65","2,917.93","2,835.13","-","-0.94%"
"Apr 15, 2020","2,915.19","2,982.18","2,985.84","2,911.06","-","-4.79%"
"Apr 14, 2020","3,061.81","3,063.82","3,114.66","3,041.97","-","1.22%"
"Apr 13, 2020","3,025.05","3,063.37","3,067.46","3,012.16","-","-1.93%"
"Apr 10, 2020","3,084.43","3,084.43","3,084.43","3,084.43","-","0.00%"
"Apr 09, 2020","3,084.43","3,084.43","3,084.43","3,084.43","-","3.17%"
"Apr 08, 2020","2,989.68","2,998.22","3,029.35","2,968.13","-","-0.53%"
"Apr 07, 2020","3,005.50","3,038.68","3,073.79","2,973.90","-","3.75%"
"Apr 06, 2020","2,896.92","2,830.01","2,926.26","2,830.01","-","3.29%"
"Apr 03, 2020","2,804.73","2,857.41","2,871.69","2,732.31","-","-3.83%"
"Apr 02, 2020","2,916.47","2,876.00","2,987.85","2,851.89","-","1.15%"
"Apr 01, 2020","2,883.20","2,907.16","2,919.91","2,830.13","-","-5.85%"
"Mar 31, 2020","3,062.29","3,004.51","3,133.00","2,978.93","-","3.99%"
"Mar 30, 2020","2,944.75","2,955.67","3,006.64","2,910.10","-","-2.33%"
"Mar 27, 2020","3,014.91","3,121.05","3,127.43","3,002.02","-","-6.91%"
"Mar 26, 2020","3,238.57","3,140.90","3,306.18","3,140.90","-","5.68%"
"Mar 25, 2020","3,064.58","2,950.38","3,180.45","2,941.90","-","7.10%"
"Mar 24, 2020","2,861.47","2,814.36","2,935.53","2,814.36","-","4.71%"
"Mar 23, 2020","2,732.69","2,896.24","2,915.78","2,695.35","-","-8.09%"
"Mar 20, 2020","2,973.22","3,076.27","3,084.52","2,903.44","-","-2.31%"
"Mar 19, 2020","3,043.53","3,084.87","3,095.29","2,952.27","-","-2.59%"
"Mar 18, 2020","3,124.50","3,100.13","3,249.34","3,093.22","-","-5.85%"
"Mar 17, 2020","3,318.61","3,328.58","3,352.01","3,165.69","-","-5.23%"
"Mar 16, 2020","3,501.63","3,501.63","3,501.63","3,501.63","-","-3.29%"
"Mar 13, 2020","3,620.58","3,643.99","3,690.57","3,571.13","-","6.19%"
"Mar 12, 2020","3,409.49","3,626.57","3,626.57","3,276.93","-","-10.47%"
"Mar 11, 2020","3,808.00","3,874.09","3,881.19","3,733.25","-","-2.79%"
"Mar 10, 2020","3,917.14","3,923.84","3,972.34","3,848.49","-","1.80%"
"Mar 09, 2020","3,847.74","3,968.09","3,968.09","3,798.34","-","-10.58%"
"Mar 06, 2020","4,303.02","4,349.73","4,353.37","4,246.23","-","-3.88%"
"Mar 05, 2020","4,476.71","4,582.36","4,582.36","4,426.31","-","-3.86%"
"Mar 04, 2020","4,656.68","4,605.46","4,656.68","4,580.93","-","1.12%"
"Mar 03, 2020","4,605.08","4,515.73","4,649.04","4,493.60","-","3.65%"
"Mar 02, 2020","4,442.84","4,353.50","4,542.59","4,353.50","-","2.45%"
"Feb 28, 2020","4,336.67","4,315.32","4,396.93","4,173.14","-","-2.33%"
