"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 10, 2020","2,339.65","2,345.98","2,367.07","2,311.89","-","-0.23%"
"Jan 09, 2020","2,344.97","2,358.30","2,370.36","2,327.20","-","-0.43%"
"Jan 08, 2020","2,355.08","2,368.51","2,387.77","2,343.47","-","-0.06%"
"Jan 07, 2020","2,356.39","2,362.47","2,376.98","2,340.32","-","-1.12%"
"Jan 06, 2020","2,383.07","2,397.81","2,397.81","2,366.39","-","-0.90%"
"Jan 03, 2020","2,404.74","2,407.85","2,421.59","2,385.36","-","-0.99%"
"Jan 02, 2020","2,428.71","2,380.63","2,432.04","2,380.63","-","2.35%"
"Dec 31, 2019","2,373.01","2,373.01","2,373.01","2,373.01","-","-0.01%"
"Dec 30, 2019","2,373.22","2,384.92","2,395.51","2,371.97","-","0.07%"
"Dec 27, 2019","2,371.52","2,396.82","2,402.22","2,364.10","-","-0.75%"
"Dec 26, 2019","2,389.56","2,369.29","2,395.66","2,360.10","-","1.62%"
"Dec 25, 2019","2,351.41","2,351.41","2,351.41","2,351.41","-","0.00%"
"Dec 24, 2019","2,351.41","2,351.41","2,351.41","2,351.41","-","-0.47%"
"Dec 23, 2019","2,362.62","2,335.43","2,362.62","2,330.68","-","1.05%"
"Dec 20, 2019","2,338.17","2,346.87","2,347.76","2,321.12","-","-0.47%"
"Dec 19, 2019","2,349.12","2,335.36","2,354.89","2,320.72","-","0.35%"
"Dec 18, 2019","2,340.86","2,302.72","2,340.86","2,297.56","-","1.83%"
"Dec 17, 2019","2,298.77","2,280.47","2,302.32","2,280.42","-","0.93%"
"Dec 16, 2019","2,277.67","2,287.55","2,311.82","2,277.67","-","0.17%"
"Dec 13, 2019","2,273.81","2,279.54","2,297.17","2,260.03","-","0.17%"
"Dec 12, 2019","2,270.04","2,242.86","2,284.39","2,242.39","-","1.47%"
"Dec 11, 2019","2,237.07","2,234.19","2,244.85","2,220.81","-","0.88%"
"Dec 10, 2019","2,217.49","2,221.08","2,231.74","2,203.56","-","-0.13%"
"Dec 09, 2019","2,220.46","2,225.73","2,238.72","2,214.22","-","0.48%"
"Dec 06, 2019","2,209.79","2,198.89","2,234.46","2,198.39","-","1.24%"
"Dec 05, 2019","2,182.69","2,173.63","2,207.99","2,166.00","-","-0.20%"
"Dec 04, 2019","2,187.11","2,154.55","2,188.32","2,154.52","-","1.43%"
"Dec 03, 2019","2,156.36","2,154.80","2,160.32","2,135.37","-","0.55%"
"Dec 02, 2019","2,144.55","2,124.83","2,154.30","2,123.84","-","0.90%"
"Nov 29, 2019","2,125.49","2,133.19","2,140.43","2,111.87","-","0.47%"
"Nov 28, 2019","2,115.55","2,109.72","2,146.09","2,092.87","-","0.68%"
"Nov 27, 2019","2,101.17","2,098.97","2,110.37","2,073.35","-","0.75%"
"Nov 26, 2019","2,085.63","2,120.33","2,121.44","2,070.64","-","-2.59%"
"Nov 25, 2019","2,141.07","2,152.66","2,158.00","2,131.36","-","-1.09%"
"Nov 22, 2019","2,164.58","2,139.62","2,164.58","2,130.03","-","1.77%"
"Nov 21, 2019","2,126.92","2,101.18","2,137.69","2,095.48","-","1.16%"
"Nov 20, 2019","2,102.44","2,102.44","2,102.44","2,102.44","-","0.36%"
"Nov 19, 2019","2,094.93","2,111.14","2,128.29","2,088.11","-","-0.97%"
"Nov 18, 2019","2,115.44","2,130.45","2,147.77","2,100.92","-","-0.29%"
"Nov 15, 2019","2,121.53","2,121.53","2,121.53","2,121.53","-","-0.02%"
"Nov 14, 2019","2,122.04","2,119.84","2,130.66","2,106.69","-","0.12%"
"Nov 13, 2019","2,119.41","2,132.38","2,134.49","2,096.29","-","-0.79%"
"Nov 12, 2019","2,136.23","2,173.59","2,174.08","2,125.16","-","-1.99%"
"Nov 11, 2019","2,179.71","2,155.47","2,184.27","2,140.41","-","0.40%"
